Question,Answer
Chính sách thử việc của công ty là gì?,"Thời gian thử việc kéo dài tối đa 2 tháng. Trong thời gian này, nhân viên nhận 85-90% lương chính thức."
Quy định về thời gian làm việc của công ty như thế nào?,"Nhân viên làm việc 8 tiếng/ngày, từ thứ Hai đến thứ Sáu, bắt đầu từ 8h00 đến 17h00, nghỉ trưa 1 tiếng."
Nhân viên có được nghỉ phép năm không?,"Nhân viên chính thức được nghỉ phép năm 12 ngày. Thâm niên tăng thêm 1 ngày phép cho mỗi 5 năm làm việc."
Công ty có hỗ trợ bảo hiểm xã hội không?,"Công ty đóng đầy đủ bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp theo quy định của nhà nước."
Nhân viên nghỉ ốm có được hưởng lương không?,"Nhân viên nghỉ ốm có giấy chứng nhận của bác sĩ sẽ được hưởng chế độ bảo hiểm y tế theo quy định."
Làm thế nào để xin nghỉ phép?,"Nhân viên nộp đơn xin nghỉ phép cho quản lý trực tiếp trước ít nhất 3 ngày làm việc."
Quy định về đi muộn, về sớm ra sao?,"Nhân viên đi muộn hoặc về sớm quá 15 phút sẽ bị trừ lương hoặc phạt theo quy chế kỷ luật."
Công ty có tổ chức đào tạo cho nhân viên không?,"Công ty thường xuyên tổ chức các khóa đào tạo chuyên môn, kỹ năng mềm và hội thảo nội bộ."
Chính sách thưởng Tết của công ty như thế nào?,"Thưởng Tết dựa trên kết quả kinh doanh và đánh giá hiệu quả cá nhân, trung bình từ 1-2 tháng lương."
Nhân viên nghỉ thai sản được hưởng chế độ gì?,"Nữ nhân viên nghỉ thai sản được nghỉ 6 tháng và hưởng chế độ bảo hiểm xã hội theo quy định."
Công ty có quy định về trang phục khi đi làm không?,"Nhân viên phải mặc trang phục công sở, lịch sự, phù hợp với môi trường làm việc."
Nhân viên mới có được hướng dẫn hội nhập không?,"Tất cả nhân viên mới sẽ tham gia chương trình đào tạo hội nhập trong tuần đầu tiên làm việc."
Có chính sách thưởng cho nhân viên xuất sắc không?,"Hàng quý, công ty xét thưởng cho các cá nhân xuất sắc, đóng góp tích cực cho công ty."
Quy trình kỷ luật lao động của công ty gồm các bước nào?,"Quy trình gồm: Nhắc nhở, Khiển trách, Cảnh cáo, Đình chỉ công việc, Kỷ luật sa thải nếu tái phạm."
Có chế độ công tác phí cho nhân viên đi công tác không?,"Nhân viên đi công tác sẽ được công ty thanh toán chi phí đi lại, ăn ở theo quy định."
Khi nào nhân viên được xét tăng lương?,"Nhân viên được xét tăng lương hàng năm dựa trên kết quả đánh giá hiệu quả công việc."
Công ty có hỗ trợ ăn trưa cho nhân viên không?,"Công ty hỗ trợ ăn trưa miễn phí hoặc trợ cấp tiền ăn trưa hàng tháng cho nhân viên."
Quy định về làm thêm giờ như thế nào?,"Nhân viên làm thêm giờ được trả lương theo hệ số quy định của Luật Lao động."
Nhân viên có được làm việc từ xa không?,"Một số vị trí được phép làm việc từ xa theo chính sách làm việc linh hoạt của công ty."
Chính sách tuyển dụng nội bộ ra sao?,"Công ty ưu tiên tuyển dụng nội bộ cho các vị trí quản lý và khuyến khích nhân viên phát triển sự nghiệp."
Công ty có tổ chức teambuilding hay du lịch thường niên không?,"Mỗi năm, công ty tổ chức ít nhất 1 lần du lịch hoặc teambuilding cho toàn thể nhân viên."
Có quy định cấm hút thuốc trong công ty không?,"Nhân viên không được hút thuốc trong khu vực làm việc chung và phải tuân thủ quy định của tòa nhà."
Công ty xử lý thế nào khi nhân viên vi phạm bảo mật thông tin?,"Nhân viên vi phạm bảo mật thông tin sẽ bị xử lý kỷ luật, có thể lên đến sa thải."
Nhân viên nghỉ việc có phải báo trước không?,"Nhân viên nghỉ việc cần báo trước ít nhất 30 ngày đối với hợp đồng xác định thời hạn."
Công ty có xét duyệt học bổng/đào tạo ngoài cho nhân viên không?,"Công ty có chính sách hỗ trợ chi phí đào tạo ngoài cho nhân viên xuất sắc hoặc theo nhu cầu công việc."
Có chính sách ưu đãi cho nhân viên gắn bó lâu dài không?,"Nhân viên làm việc trên 5 năm được nhận quà tặng hoặc thưởng thâm niên."
Nhân viên bị tai nạn lao động được hỗ trợ như thế nào?,"Nhân viên được hưởng bảo hiểm tai nạn và công ty hỗ trợ các thủ tục cần thiết."
Có chương trình chăm sóc sức khỏe định kỳ không?,"Hằng năm, công ty tổ chức khám sức khỏe định kỳ cho toàn thể nhân viên."
Nhân viên có thể góp ý với lãnh đạo bằng cách nào?,"Nhân viên có thể gửi góp ý qua hòm thư góp ý hoặc email nội bộ đến bộ phận HR."
Chính sách bảo mật lương thưởng như thế nào?,"Thông tin lương thưởng của nhân viên được bảo mật và chỉ có bộ phận liên quan được truy cập."
Quy trình tuyển dụng mới của công ty ra sao?,"Ứng viên nộp hồ sơ, tham gia phỏng vấn, thử việc và đánh giá trước khi ký hợp đồng chính thức."
Có chính sách làm việc linh hoạt giờ không?,"Một số vị trí có thể thỏa thuận làm việc linh hoạt giờ sau khi được quản lý phê duyệt."
Nhân viên có thể chuyển bộ phận trong công ty không?,"Nhân viên có thể đăng ký chuyển bộ phận nếu đáp ứng yêu cầu và được quản lý đồng ý."
Công ty xử lý thế nào với trường hợp nghỉ không phép?,"Nghỉ không phép bị coi là vi phạm kỷ luật và có thể bị trừ lương, kỷ luật hoặc sa thải."
Có chính sách tạm ứng lương không?,"Nhân viên có thể xin tạm ứng lương trong trường hợp cấp bách và phải được phê duyệt."
Nhân viên có quyền khiếu nại về đánh giá hiệu quả công việc không?,"Nhân viên có quyền khiếu nại lên HR hoặc quản lý trực tiếp để được xem xét lại kết quả đánh giá."
Công ty có hỗ trợ làm thủ tục đăng ký bảo hiểm cho nhân viên mới không?,"Bộ phận HR sẽ hỗ trợ làm thủ tục đăng ký bảo hiểm cho tất cả nhân viên mới."
Có quy định về sử dụng thiết bị công ty không?,"Nhân viên phải sử dụng thiết bị công ty đúng mục đích và không được tự ý mang ra ngoài khi chưa được phép."
Nhân viên làm việc vào ngày lễ có được hưởng chế độ gì?,"Nhân viên làm việc ngày lễ được hưởng lương gấp 3 lần ngày thường theo luật lao động."
Chính sách thưởng sáng kiến cải tiến ra sao?,"Nhân viên có sáng kiến cải tiến được áp dụng sẽ nhận thưởng theo quy chế thưởng sáng kiến."
Có chính sách bảo mật dữ liệu cá nhân nhân viên không?,"Công ty cam kết bảo mật thông tin cá nhân của nhân viên theo luật hiện hành."
Nhân viên đi làm ngày nghỉ cuối tuần được tính lương như thế nào?,"Làm việc vào cuối tuần được tính lương làm thêm giờ theo quy định của pháp luật."
Công ty có tổ chức các hoạt động thể thao cho nhân viên không?,"Công ty thường xuyên tổ chức các giải thể thao nội bộ nhằm nâng cao sức khỏe cho nhân viên."
Có chế độ hỗ trợ nhân viên có hoàn cảnh khó khăn không?,"Nhân viên có hoàn cảnh khó khăn được xét hỗ trợ từ quỹ phúc lợi công ty."
Nhân viên hết hạn hợp đồng có được ký tiếp không?,"Nhân viên hết hạn hợp đồng sẽ được xem xét ký tiếp dựa trên kết quả đánh giá và nhu cầu công ty."
Chính
