Question,Answer
Công ty quy định như thế nào về việc sử dụng máy tính cá nhân cho công việc?,"Nhân viên chỉ được sử dụng máy tính cá nhân cho công việc nếu được phê duyệt bởi bộ phận IT."
Quy trình cấp tài khoản email công ty ra sao?,"Nhân viên mới sẽ được IT cấp tài khoản email công ty sau khi hoàn thành thủ tục nhận việc."
Có được phép cài đặt phần mềm cá nhân lên máy tính công ty không?,"Nhân viên không được tự ý cài đặt phần mềm cá nhân trên máy tính công ty nếu chưa có sự cho phép của bộ phận IT."
Chính sách bảo mật mật khẩu công ty như thế nào?,"Nhân viên phải đổi mật khẩu ít nhất 3 tháng/lần, không chia sẻ mật khẩu cho người khác và sử dụng mật khẩu mạnh."
Nếu quên mật khẩu tài khoản công ty thì xử lý thế nào?,"Nhân viên liên hệ bộ phận IT để được hỗ trợ đặt lại mật khẩu tài khoản công ty."
Có quy định về truy cập internet tại nơi làm việc không?,"Nhân viên chỉ được truy cập internet phục vụ công việc và không truy cập vào các trang web không liên quan hoặc độc hại."
Công ty kiểm soát việc sử dụng email cá nhân như thế nào?,"Nhân viên không nên sử dụng email cá nhân cho công việc và tuyệt đối không gửi dữ liệu quan trọng qua email cá nhân."
Có quy định về lưu trữ dữ liệu công việc ở đâu không?,"Dữ liệu công việc phải lưu trữ trên hệ thống lưu trữ tập trung hoặc các dịch vụ cloud nội bộ của công ty."
Có chính sách backup dữ liệu định kỳ không?,"Bộ phận IT thực hiện backup dữ liệu hệ thống định kỳ và hướng dẫn nhân viên backup dữ liệu cá nhân khi cần."
Nhân viên xử lý thế nào khi phát hiện virus trên máy tính?,"Nhân viên phải ngay lập tức báo cho bộ phận IT để kiểm tra và xử lý kịp thời."
Chính sách sử dụng USB hoặc thiết bị lưu trữ ngoài ra sao?,"Chỉ được sử dụng USB và thiết bị lưu trữ ngoài sau khi đã được kiểm tra virus và có sự đồng ý của bộ phận IT."
Có quy định về làm việc từ xa cho nhân viên IT không?,"Nhân viên IT có thể làm việc từ xa nhưng phải tuân thủ các quy định bảo mật dữ liệu và sử dụng VPN của công ty."
Công ty có yêu cầu sử dụng VPN khi làm việc ngoài công ty không?,"Khi làm việc từ xa, nhân viên bắt buộc phải sử dụng VPN để bảo vệ kết nối và dữ liệu công ty."
Nếu phát hiện lỗ hổng bảo mật phải làm gì?,"Nhân viên phải thông báo ngay cho bộ phận IT và không tự ý công bố lỗ hổng ra bên ngoài."
Có quy trình báo cáo sự cố IT không?,"Nhân viên liên hệ bộ phận IT qua email, hệ thống ticket hoặc hotline để báo cáo sự cố về thiết bị, mạng, phần mềm."
Chính sách truy cập hệ thống quản trị (admin) như thế nào?,"Chỉ những người được ủy quyền mới có quyền truy cập hệ thống quản trị, phải đăng nhập bằng tài khoản được kiểm soát."
Có được phép truy cập dữ liệu khách hàng không?,"Chỉ nhân viên có liên quan trực tiếp đến dự án hoặc dịch vụ mới được phép truy cập dữ liệu khách hàng, theo quyền hạn."
Có chính sách kiểm soát truy cập mạng nội bộ không?,"Công ty sử dụng firewall, phân vùng mạng và kiểm soát truy cập dựa trên vai trò để bảo mật mạng nội bộ."
Có quy định về camera giám sát an ninh hệ thống IT không?,"Hệ thống server và phòng máy chủ đều được lắp đặt camera giám sát 24/7 để đảm bảo an ninh."
Chính sách sử dụng phần mềm bản quyền của công ty ra sao?,"Công ty chỉ sử dụng phần mềm có bản quyền, nghiêm cấm sử dụng phần mềm lậu hoặc crack."
Có chính sách cập nhật phần mềm, hệ điều hành không?,"Bộ phận IT sẽ lên lịch cập nhật định kỳ phần mềm và hệ điều hành cho toàn bộ thiết bị công ty."
Nhân viên có thể truy cập wifi công ty bằng thiết bị cá nhân không?,"Chỉ thiết bị cá nhân đã đăng ký với IT mới được phép truy cập wifi công ty ở mạng riêng biệt cho cá nhân."
Chính sách sử dụng máy in và máy photocopy công ty như thế nào?,"Nhân viên chỉ được sử dụng cho công việc, không in ấn tài liệu cá nhân và phải tuân thủ quy trình bảo mật thông tin in ấn."
Có quy định lưu trữ log truy cập hệ thống không?,"Tất cả log truy cập hệ thống được lưu trữ và giám sát bởi bộ phận IT để đảm bảo an ninh."
Chính sách xử lý tài khoản khi nhân viên nghỉ việc như thế nào?,"Bộ phận IT sẽ thu hồi và vô hiệu hóa tất cả tài khoản công ty của nhân viên nghỉ việc trong vòng 24 giờ."
Có quy định về đổi thiết bị làm việc không?,"Khi thiết bị có vấn đề hoặc không đáp ứng nhu cầu công việc, nhân viên đề xuất lên quản lý để được xét đổi thiết bị."
Nhân viên được cấp phát thiết bị công nghệ gì khi vào làm?,"Tùy vị trí công việc, nhân viên sẽ được cấp máy tính, điện thoại, tài khoản email và phần mềm cần thiết."
Có chính sách bảo mật dữ liệu di động không?,"Thiết bị di động có chứa dữ liệu công ty phải cài đặt phần mềm bảo mật và mã hóa dữ liệu."
Chính sách về sử dụng tài khoản dùng chung như thế nào?,"Tài khoản dùng chung chỉ sử dụng trong trường hợp cần thiết, mật khẩu phải thay đổi thường xuyên và quản lý bởi IT."
Nếu phát hiện thiết bị bị đánh cắp cần xử lý như thế nào?,"Nhanh chóng thông báo cho bộ phận IT và an ninh để khóa thiết bị và bảo vệ dữ liệu."
Có quy định về sử dụng phần mềm quản lý công việc không?,"Nhân viên phải sử dụng phần mềm quản lý công việc do công ty chỉ định để đảm bảo kiểm soát tiến độ và bảo mật thông tin."
Có chính sách quản lý quyền truy cập dữ liệu nội bộ không?,"Mỗi nhân viên được phân quyền truy cập dữ liệu phù hợp với vị trí và trách nhiệm công việc."
Chính sách bảo vệ dữ liệu cá nhân của khách hàng như thế nào?,"Nhân viên tuyệt đối không chia sẻ hoặc sử dụng dữ liệu cá nhân khách hàng ngoài mục đích công việc."
Có quy định về kiểm tra an ninh mạng định kỳ không?,"Công ty thực hiện kiểm tra và đánh giá an ninh mạng định kỳ để phát hiện và phòng chống rủi ro."
Chính sách sử dụng cloud công ty như thế nào?,"Nhân viên chỉ sử dụng tài khoản cloud công ty để lưu trữ, không dùng tài khoản cá nhân cho dữ liệu công việc."
Nếu bị tấn công mạng hoặc nghi ngờ bị tấn công phải làm gì?,"Báo ngay cho bộ phận IT và không tự ý khắc phục nếu chưa có hướng dẫn."
Có quy định về sử dụng tài nguyên hệ thống cho mục đích cá nhân không?,"Nghiêm cấm sử dụng tài nguyên hệ thống công ty cho mục đích cá nhân hoặc ngoài công việc."
Chính sách bảo mật thiết bị IoT của công ty ra sao?,"Tất cả thiết bị IoT phải được quản lý và cấu hình bảo mật bởi bộ phận IT, không tự ý kết nối thiết bị mới."
Có chính sách đào tạo an ninh mạng cho nhân viên không?,"Công ty định kỳ tổ chức đào tạo về nhận diện và phòng tránh các rủi ro an ninh mạng cho toàn bộ nhân viên."
Quy trình xử lý sự cố mất kết nối mạng như thế nào?,"Nhân viên báo cho IT để kiểm tra và khắc phục, không tự ý thay đổi thiết lập mạng."
Có quy định sử dụng phần mềm họp trực tuyến nào không?,"Công ty chỉ định sử dụng các phần mềm họp trực tuyến được cấp phép như Teams, Zoom hoặc Google Meet."
Chính sách về lưu trữ và xóa dữ liệu khi dự án kết thúc như thế nào?,"Dữ liệu dự án sẽ được lưu trữ tập trung, backup đầy đủ và xóa đúng quy trình nếu hết hạn lưu trữ."
Nhân viên được phép truy cập server nội bộ từ xa không?,"Chỉ các vị trí được phân quyền mới được truy cập server nội bộ từ xa, bắt buộc dùng VPN và xác thực đa yếu tố."
Có quy định về đổi mật khẩu hệ thống định kỳ không?,"Mật khẩu các hệ thống quan trọng phải được thay đổi ít nhất mỗi 90 ngày và phải đáp ứng tiêu chuẩn bảo mật."
Chính sách kiểm soát phần mềm độc hại trên thiết bị như thế nào?,"Tất cả thiết bị phải cài phần mềm diệt virus và được kiểm tra định kỳ bởi IT."
Có quy định về giám sát lưu lượng mạng không?,"Lưu lượng mạng được giám sát liên tục để phát hiện các dấu hiệu bất thường và bảo vệ hệ thống."
Chính sách sử dụng email công ty để gửi tài liệu ra ngoài như thế nào?,"Chỉ được phép gửi tài liệu ra ngoài khi được phê duyệt và phải mã hóa, bảo mật tài liệu trước khi gửi."
Nhân viên có được tự ý nâng cấp phần cứng thiết bị không?,"Không được tự ý nâng cấp phần cứng, mọi thay đổi phải được thực hiện bởi bộ phận IT."
Có quy trình kiểm kê tài sản công nghệ định kỳ không?,"Công ty kiểm kê tài sản công nghệ 6 tháng/lần, nhân viên phải phối hợp kiểm tra thiết bị được giao."
Chính sách hỗ trợ kỹ thuật cho nhân viên như thế nào?,"Bộ phận IT luôn sẵn sàng hỗ trợ kỹ thuật, bảo trì, sửa chữa hoặc thay thế thiết bị khi cần thiết."
Nếu cần cài phần mềm phục vụ công việc mới thì làm thế nào?,"Nhân viên gửi yêu cầu lên bộ phận IT, IT sẽ xem xét và cài đặt phần mềm phù hợp cho thiết bị."
