Question,Answer
Nhân viên đi làm trễ 1–5 phút?,Trừ 30 phút lương trên bảng chấm công.
Nhân viên đi làm trễ 6–15 phút?,Trừ 1 giờ lương và ghi nhận vi phạm lần 1.
Nhân viên đi làm trễ 16–30 phút?,Trừ 1.5 giờ lương và cảnh cáo bằng văn bản.
Nhân viên đi làm trễ 31–60 phút?,Tính nghỉ không phép nửa ngày và trừ 50% lương.
Nhân viên đi làm trễ trên 60 phút không báo trước?,Tính nghỉ không phép cả ngày và trừ 100% lương.
Nhân viên đi muộn quá 3 lần/tháng?,Cảnh cáo bằng văn bản và trừ thưởng tháng đó.
Nhân viên đi muộn quá 5 lần/tháng?,Xem xét kỷ luật và trừ thưởng quý.
Nhân viên đi muộn ngoài khung giờ cao điểm?,Trừ 1 giờ lương.
Nhân viên đi muộn dù đã báo trước?,Trừ 30 phút lương và nhắc nhở.
Nhân viên đi muộn vào ngày lễ?,Tính nghỉ không phép và trừ 100% lương.
Nhân viên xin nghỉ sớm 1–5 phút?,Trừ 30 phút lương.
Nhân viên xin nghỉ sớm 6–15 phút?,Trừ 1 giờ lương và ghi nhận vi phạm lần 1.
Nhân viên xin nghỉ sớm 16–30 phút?,Trừ 1.5 giờ lương và cảnh cáo.
Nhân viên nghỉ sớm 31–60 phút không báo trước?,Tính nghỉ không phép nửa ngày và trừ 50% lương.
Nhân viên nghỉ sớm trên 60 phút không báo trước?,Tính nghỉ không phép cả ngày và trừ 100% lương.
Nhân viên nghỉ sớm quá 3 lần/tháng?,Cảnh cáo bằng văn bản và trừ thưởng tháng.
Nhân viên nghỉ sớm vào ngày đánh giá?,Trừ 2 giờ lương và cảnh cáo.
Nhân viên nghỉ sớm do việc cá nhân?,Yêu cầu bù giờ hoặc trừ lương tương ứng.
Nhân viên nghỉ sớm dù đã báo trước?,Trừ 30 phút lương và nhắc nhở.
Nhân viên nghỉ sớm trong mùa cao điểm?,"Không được tính phép bù, trừ 100% lương."
Nhân viên nghỉ không phép 1 ngày?,Trừ 1 ngày lương và cảnh cáo.
Nhân viên nghỉ không phép nửa ngày?,Trừ 50% lương và nhắc nhở.
Nhân viên nghỉ không phép liên tục 2 ngày?,Trừ 2 ngày lương và cảnh cáo bằng văn bản.
Nhân viên nghỉ không phép vào thứ Hai?,Trừ 1 ngày lương và cảnh cáo.
Nhân viên nghỉ không phép vào thứ Sáu?,Trừ 1 ngày lương và cảnh cáo.
Nhân viên nghỉ không phép trong mùa cao điểm?,Trừ 100% lương và xem xét kỷ luật.
Nhân viên nghỉ không phép mà không báo trước?,Trừ 100% lương và cảnh cáo nặng.
Nhân viên nghỉ không phép quá 3 lần/tháng?,Xem xét kỷ luật và trừ thưởng.
